Question,Answer
<b>결막염 증상</b>,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장... "
감기 기운에 눈도 아프면 인후<b>결막염</b> 맞나요? (강남... ,... 감기 기운과 비슷하지만 전염성이 강한 <b>결막염 증상</b>이 있는 것으로 안과에서 검사를 받아 보는 것이 좋습니다. 전염성이 강하므로 꼭 안과에 내원하여 치료받으시기 바랍니다. 감사합니다.
<b>결막염 증상</b> 질문,... 있어 <b>결막염</b>이 초래될 수 있습니다. 초기 <b>증상</b>인 경우 안과를 내방하시어 진단 후 현제 <b>증상</b>이 알맞는 처방 후 복용 약이나 점안액등 <b>증상</b>이 가라앉을 때 까지 개인적인 관리와 함께 병행해주신다면 큰 문제 없이 완화가 가능하니... 
<b>결막염 증상</b>,눈이 간지럽고 눈꼽이 평소보다 많이 끼는게 <b>결막염 증상</b>인가요?? 안과에 가보는게 좋겠죠?  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김선영 입니다. 눈이 간지럽고 눈꼽이 끼는 증상들로 보았을 때 알레르기 결막염을 의심해... 
<b>결막염 증상</b> 도와주세요ㅜㅜ,"... 약국에서 <b>결막염 증상</b> 얘기하고 투여하는 약을 구매했는데 투여해도 되는지도 궁금합니다.  안녕하세요. 하이닥-네이버 지식iN 상담의 최민규 입니다. 네, 증상과 사진을 보면 감염성 결막염처럼 보입니다. 올려주신 안약은 항생제와... "
<b>결막염 증상</b>?!,"오늘 갑자기 비가와서 비맞고 학교 갔는데 집에 와보니까 눈이 충혈 돼있고 노란 실눈곱이 있었는데 이거 <b>결막염 증상</b>인가요?!  <b>결막염 증상</b> 같아요! 결막염은 결막이 염증을 일으키는 질환으로, 일반적으로 눈이 붉고 따가워지며... "
<b>결막염 증상</b>,"혹시 <b>결막염</b>이 생기면 안구가 돌출되거나 함몰되는 <b>증상</b>도 생길 수 있나요? <b>결막염</b>이 생기고 나서부터 눈이 좀 달라보여요 안과에서 근무중이 검안사입니다. 안구돌출과, 함몰은 <b>결막염</b>과 상관이 없는질환입니다. "
<b>결막염 증상</b>,눈이 가렵고 이물감이 느껴지고 눈이 충혈됐는데 <b>결막염 증상</b>이 맞나요..ㅠ?  일단 초기증상은 흡사합니다. 무조건 안과가서 정확한 진단 받으셔야해요.
알레르기성 <b>결막염</b> 안연고만으로 치료 가능한가요?,"... 포러스 안연고 내 성분 중 스테로이드가 알레르기 <b>결막염 증상</b> 호전에 일부 효과가 있으나 불충분할 수 있습니다. 진료를 보시고 적절한 안약을 처방받으시는 것이 좋습니다. 포러스 안연고를 오래, 과량 사용하면 안압상승의 위험이... "
<b>결막염</b>인가요,"<b>결막염 증상</b>이 적혀있는 걸 봤는데 너무나 똑같아서 통증도 있고 눈에 뭐가 들어있는 것 같은(속눈썹이 들어갔을 때 나는 느낌, 모래 느낌) 이물감도 있고 눈곱도 끼고 눈물도 계속 나요 혹시 이거 결막염인가요..? 제가 렌즈 착용을 거의... "
<b>결막염 증상</b>,... 겉으로 봤을때 충혈은 없는데 <b>결막염</b>일 가능성이 있을까요? 눈알 굴리니까 아프네요..  안녕하세요. 대한의사협회... <b>증상</b>으로는 눈이 많이 가렵거나 눈물이 나면서 빨갛게 충혈되어 눈 속에 뭔가 들어간 것 같은 이물감이 심한 것이... 
<b>결막염</b> 눈 안대,... 안녕하세요. 하이닥-네이버 지식iN 상담의 류익희 입니다. 안대의 이미지가 보여지지 않습니다. 약국을 가시면 <b>결막염 증상</b>을 가릴 수 있는 안대는 판매하니 한번 방문을 해보시길 바래요.
<b>결막염 증상</b>,눈이 약간 충혈이 된 것도 있고 약간 간지러운 것도 있는데 이것들이 <b>결막염 증상</b>인가요?? 아님 그냥 피곤해서 그러는 건가 해서요  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김선영 입니다. 눈이 간지럽고 충혈이 있다면... 
<b>결막염 증상</b>,"... ㅠ내일 학원도 가야하는데ㅠㅠㅠㅠㅠㅠ 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지... "
<b>결막염 증상</b>,"<b>결막염 증상</b>에 아프고 흐리고 뿌옇고 좀 곂쳐보이는 증상있나요 ? ㅜ  아마도 대부분의 사람이라면 살면서 가끔씩 눈이 충혈된다거나, 말씀하신 것처럼 결막염과 같은 증상으로 안과를 한 번쯤은 찾게 됩니다. 이때 눈 안 쪽에 있는 결막... "
<b>결막염증상</b>,<b>결막염</b> 눈에 통증은 계속 지속되나요 네 보통 그렇습니다 계속 가렵고 눈물이 나기도 하고요 빠른 시일 내 안과에 가보시길 바랍니다 채택 부탁 드려요 :) 
<b>결막염 증상</b>,<b>결막염 증상</b>  눈 안 쪽에 있는 결막 부위에 생기는 염증을 결막염이라고 합니다. 이와는 반대로 눈의 까만 눈동자 즉 각막 부위에 염증이 생기는 것을 각막염이라고 합니다. 보통 계절이 바뀌는 환절기에 자주 나타나는 증상으로 알레르기... 
<b>결막염 증상</b>,<b>결막염 증상</b> 간단히 알려주세요.  안녕하세요. 하이닥-네이버 지식iN 상담의 유용성 입니다. 결막염은 안구를 외부에서 감싸고 있는 조직인 결막에 염증을 일으키는 아데노바이러스가 감염되어 생긴 눈병의 하나입니다. <b>결막염 증상</b>은... 
각막염 <b>결막염 증상</b>,각막염 <b>결막염 증상</b> 중에 눈이 붓는 경우도 있나요? 안녕하세요 안경사 서슨생입니다:_ 흔한건 아니지만 있긴 합니다 다만 염증성 질환이랑 같이 왔다면 붓기가 있을 수 있습니다. 혹시 지금 눈이 간지럽거나 충혈이 된 상태인가요 ? 더... 
알레르기 <b>결막염</b> 안과전문의 선생님 봐주세요,... 알레르기 <b>결막염 증상</b>중에 눈 주변 살이 가려운 증상도 있나요?  안녕하세요? 인터엠디 - 네이버 지식in 상담의사 이효석 입니다. 제알레르기 결막염으로 고생중입니다. 지금 한달이 넘었어요. 플루메토론0.1을 두통째 넣고있습니다.... 
<b>결막염</b> 안약을,"... 따라서, <b>결막염 증상</b>이 있는 경우 안과를 방문하여 정확한 진단을 받고, 원인에 맞는 치료를 받는 것이 중요합니다. 약국에서 구입할 수 있는 결막염 안약으로는 다음과 같은 것들이 있습니다. 항생제 안약: 녹농균, 포도상구균 등의... "
<b>결막염</b> 질문드립니다,눈에 눈꼽이 자주끼는데요 <b>결막염 증상</b>인가요?  안녕하세요. 하이닥-네이버 지식iN 상담의 구오섭 입니다. 평소와 다르게 눈곱이 많이 낀다거나 눈꼽의 농도가 평소와 다르다면 안질환을 의심해 보셔야 하는데 보통은 가느다란 눈곱이... 
오른쪽 눈 <b>결막염</b>,... 안약은 <b>결막염 증상</b>이 있는 쪽에만 점안하시면 됩니다. 염증이 완전히 치료된 후에는 다시 렌즈를 착용하셔도 괜찮지만 기존의 렌즈는 버리고 새로운 렌즈를 착용하시길 권해드립니다. 앞으로도 항상 환자의 건강만을 생각하며... 
이 <b>증상</b>들 고양이 <b>결막염</b>일까요?,"노란 눈꼽, 점막?부분 빨감, 흰자 약간 충혈, 눈 반만 뜸, 한 쪽 눈만 자주 깜빡거림, 그루밍할 때 발로 눈 계속 긁음 등 이런 증상이 있는데 결막염일까요? 눈 부은 건 잘 모르겠고.. 1살 된 애긴데 결막염일까요.. <b>결막염 증상</b> 맞습니다. "
눈 <b>결막염증상</b>인가요?,그저께부터 자고 일어나면 눈꼽도 많이 껴있고 눈도 엄청 충혈되어있고 막 가려워요ㅠㅠ이거 <b>결막염 증상</b>인가요??? 추석이라 병원도 다 문닫고 눈 찜질 같은거로 일단 해주면 괜찮을까요?? <b>결막염 증상</b> 맞는거 같네요 최대한 눈 비비지... 
<b>결막염 증상</b>,혹시 <b>결막염</b>이 생기면 안구가 돌출되거나 함몰되는 <b>증상</b>도 생길 수 있나요? <b>결막염</b>이 생기고 나서부터 눈이 좀 달라보여요 <b>결막염</b>으오 돌출이나 함몰은 없어요 너무 걱정 마시고 란과가서 처방 받고 약먹으면 금방 나아요 
<b>결막염 증상</b>,... 증상 검색해보니까 <b>결막염 증상</b> 같기는 한데.. 이 증상들이 <b>결막염 증상</b>이 맞나요?ㅜㅜ  안녕하세요. 하이닥-네이버 지식iN 상담의 김준현 입니다. 말씀하신 증상만으로는 자세한 안내가 어렵습니다. 드리는 답변은 참고하여 주시면... 
급성<b>결막염 증상</b>,... 급성<b>결막염 증상</b> 중에 이런 증상이 있는지 아니면 이물질이 들어갔는데 제가 못 찾고 있는 것인지 미쳐버리겠습니다 몇 시간 째 눈만 들여다 보고 증상의 원인을 찾으려 하였으나 답이 없어 올려봅니다  안녕하세요. 대한의사협회... 
"<b>결막염 증상</b>,기타 눈병 증상",... 우연히 유튜브 보다가 <b>결막염</b> 관련 영상을 봤는데 <b>증상</b>이 조금 의심되서요 만약 제 <b>증상</b>이 <b>결막염</b>이 아니라면 다른 무슨병인지 좀 알려주세요ㅠㅠ 인터넷 검색을 해보니 눈곱이 생기고 충혈이 되면 <b>결막염</b>... 
유행성<b>결막염 증상</b> 답변부탁드려요ㅠ,"... 주요 <b>증상</b>으로는 충혈과 안검부종(안구 표면을 덮는 피부가 부어오르는 <b>증상</b>), 통증, 이물감, 눈곱, 가려움 등이 있고 <b>결막염</b> 발생 후 5~14일간 눈부심의 <b>증상</b>이 나타는 경우도 있습니다. 차가운 냉찜질 등으로 부기와 통증, 가려움 등을... "
<b>결막염 증상</b>,"... <b>결막염</b>약은 <b>결막염</b>이 있는 동안 추가 세균감염을 예방하고 (점안 항생제) <b>증상</b>을 완화시키는 (점안 스테로이드제) 용도이지, <b>결막염</b>이 걸려있는 기간을 줄이지는 못합니다. 더불어 전염 가능성이 높으니 손 자주 씻으시고, 가족들과... "
알러지성 <b>결막염</b>이 환절기때 심한거 아닌가요?(송파구... ,"... 알러지성 <b>결막염 증상</b>으로 고생이 많으시겠습니다. 해당 질환의 경우 세균이나 바이러스에 감염되어 발병하는 것이 아니며, 원인이 되는 것으로는 꽃가루, 먼지, 동물의 털, 집먼지 진드기, 곰팡이 등을 들 수 있습니다. 주로 봄에... "
<b>결막염</b> 렌즈,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장... "
<b>결막염 증상</b>관련 질문드립니다.,... 기존 병원의 진단대로 <b>결막염</b>의 <b>증상</b>일까요?? 아니면 단지 자고 일어나서 눈의 피로가 잠시 풀린것뿐인 시력저하일까요 걱정되서 질문드립니다. 최근시력은 1달전 1.5 1.0 에서 어제 일산에서 쟀을때 0.3 0.4 로 나왔습니다. <b>결막염</b>으로... 
<b>결막염</b> 눈 밑 빨개짐 부음,결막염에 걸렸는데 걸린 지는 한 4-5일 되었어요 어제 아침부터 애굣살 밑까지 좀 넓게 빨개지면서 붓는데 <b>결막염 증상</b> 중에 하나인가요? 계속 이러진 않고 한번 이렇게 되었다가 나아지고 또 오늘 되니까 갑자기 그러네요 왜이러는거죠ㅠ... 
"눈곱, 충혈 <b>증상</b> <b>결막염</b>","... 아마도 대부분의 사람이라면 살면서 가끔씩 눈이 충혈된다거나, 말씀하신 것처럼 <b>결막염</b>과 같은 <b>증상</b>으로 안과를 한 번쯤은 찾게 됩니다. 이때 눈 안 쪽에 있는 결막 부위에 생기는 염증을 <b>결막염</b>이라고 합니다. 이와는 반대로 눈의... "
유행성 <b>결막염</b>,... <b>결막염 증상</b>이 있을때는 렌즈 착용을 즉시 중단하시고 가까운 안과에 내원해 전문의 원장님의 진료를 보시길 바랍니다. 답변이 도움이 되셨으면 좋겠습니다. 좋은 하루 보내세요.
<b>결막염</b> 난시,일주일 전에 오른쪽 눈이 결막염에 걸렸다가 거의 완치 직전인데 원래 양쪽 눈 다 난시나 근시도 없었고 시력도 1.5 정도 였는데 결막염에 걸리고 나서 지금까지 오른쪽 눈만 계속 흐릿하게 보입니다 <b>결막염 증상</b>에 있는건가요 아니면... 
<b>결막염</b> 안약 사용,... <b>결막염 증상</b>이 있다고 해서 꼭 악화되는 것은 아니기 때문에 증상이 심하지 않은 경우 말씀하신 것처럼 안약을 잘 넣어주신 후 경과를 보시고 자연적으로 나을 수도 있지만 만약 지속될 경우 병원에 내원하셔서 조치를 받으시기... 
유행성 <b>결막염</b>,... 말 그대로 전염성이 있는 <b>결막염</b>으로서 <b>증상</b>이 호전될때까지 개인의 청결과 환경 관리에 충분히 관리가 이루어지지 않는 경우 또는 무심코 손으로 눈을 만지는 경우 등 한쪽 눈까지 <b>결막염</b>이 전이될 수 있기 때문에 각별한 관리를... 
이 <b>증상</b>이 알러지성<b>결막염</b>이 맞나요??,... 눈통증이 왜 생긴걸까요 ㅠㅠㅠ &quot;알러지성 <b>결막염</b>&quot; <b>증상</b>에 눈통증도 있나요.. 눈 통증은 진짜 아팠다가도 5분안에는 다시 괜찮아져요.. 눈통증 +한번씩 눈이 뻑뻑하고 건조함+ 점성있는 흰색 눈꼽 + 한번씩 눈통증과 함께 약간의 가려움... 
렌즈 <b>결막염</b>,... 렌즈를 끼고 있으면 이 항원들이 렌즈에 달라붙어 염증을 유발할 수 있습니다. 렌즈착용을 중지하면 대부분 증상이 개선됩니다. 렌즈를 다시 착용하다 또다시 <b>결막염 증상</b>이 보인다면 즉시 착용을 멈추는 것을 권장드립니다.
눈에 열기가 느껴지는데 <b>결막염</b>인가요?,안구건조증이나 <b>결막염 증상</b>이라는데 지금 오른쪽안구가 뜨겁고 뻑뻑하네요 결막염이면 안약좀 추천해주세요  안녕하세요. 하이닥-네이버 지식iN 상담의 이성훈 입니다. 첨부하신 사진 상 결막충혈 소견이 보이고 눈의 열감이나... 
알레르기 <b>결막염</b> 빛번짐 시야 흐릿함,"... 일단 증상을 보아선 <b>결막염 증상</b>일 수도 있겠지만 포도막염도 같이 의심을 해봐야 할 것 같습니다. 포도막염은 빛 번짐, 눈부심, 비문증, 사물이 찌그러져 보이는 증상이 동반되는데 빛이 조금씩 번지고 뿌옇게 보이는 경우라면... "
<b>결막염</b> 안약,... <b>결막염 증상</b>이 있다고 해서 꼭 악화되는 것은 아니기 때문에 증상이 심하지 않은 경우 말씀하신 것처럼 안약이나 인공눈물을 잘 넣어주신 후 경과를 보시고 자연적으로 나을 수도 있지만 만약 지속될 경우 병원에 내원하셔서 조치를... 
<b>결막염</b> 프레테솔 점안액,<b>결막염 증상</b>이 약간 있는데 집에 프레테솔 점안액이 있더라고요 이거 넣어도 되나요? 유통기한은 안지났어요 프레테솔은 의사의 처방 없이 사용하면 안 되는 약물 중 하나입니다. 따라서 결막염 또는 다른 안과 질환의 증상이 있을 때는... 
<b>결막염 증상</b>,... 처방받은 안약 잘 사용하시고 다른 안과에 방문하실 필요는 없어보입니다. 초기 <b>결막염</b>의 경우 냉찜질(1일 4회)이 <b>증상</b> 완화에 도움이 될 수 있습니다. 도움이 되는 답변이었으면 좋겠습니다. 감사합니다.
알레르기성 <b>결막염</b> 안약,... 알레르기성 <b>결막염 증상</b>에 해당 약제를 사용은 하셔도 됩니다만 일단은 항히스타민 성분 등의 알러지 안약을 먼저 사용하시는 것이 더 효과적이고 적절할 것으로 보입니다. 답변이 도움 되셨기를 바랍니다. 감사합니다.
"<b>결막염증상</b>, 두드러기, 목감기(열 동반)",... 친구 두 분의 <b>증상</b>은 잘 모르겠으나 감기에 몸이 안 좋다고 하셨어요 단순 감기여도 심하면 저런 <b>증상</b>이 나올 수 있는거죠? 네 감기에 <b>결막염</b>이 같이 왔을수도 있습니다. <b>증상</b>이 심한걸로 봐서는 코로나 일수도 있겠네요 
<b>결막염</b> 초기<b>증상</b>,... <b>결막염 증상</b>으로 예상됩니다. 알레르기성 결막염과 유행성 결막염의 초기증세는 비슷하며 결막염의 주 증상으로 눈꼽과 충혈 증상이 나타나게 됩니다. 증상만 봐서는 전염성인지 아닌지 알 수가 없습니다. 현재 처방받으신 대로... 
<b>결막염증상</b>,<b>결막염</b> 맞나요 진짜 너무 아프고 갑자기 엄청 부어올르기 시작해서요 눈물도 계속 흐르고 좀 뻐근한 느낌도 있어요... 맞으나 <b>결막염</b>인지에 대한 부분은 알 수 없습니다. 사진의 해상도가 너무떨어져서 눈꺼풀이 부은 것은 맞지만 눈속... 
2개월된 말티즈 <b>결막염</b>,"펫샵에서 강아지를 데려왔는데 이제 3개월 되가는데요 데려온지2일만에 막 초록 눈꼽이 끼고 눈도 충혈되서 <b>결막염 증상</b>이 보이는데 데려온지 3일도 안됐는데 이럴수 있나요 ?  안녕하세요. 결막염의 경우 세균감염뿐만 아니라, 알레르기... "
<b>결막염 증상</b>,... 그리고 오늘 아침에는 조금 부었어요 <b>결막염</b>이랑 <b>증상</b>이 제일 비슷한 것 같은데 잘 모르겠어요. 그리고 학교에서 야자를 해야 해서 그러는데 이거 주말까지 방치하면 악화될까요?ㅠㅠㅠ <b>결막염</b> 종류 같긴하네요. 안과는 다녀오셨어요?... 
<b>결막염</b> 안대,... 하이닥-네이버 지식iN 상담의 류익희 입니다. <b>결막염 증상</b>이 생겼을 때 눈이 가렵다보니 습관적으로 눈 주변을 만지게 되는데 그걸 방지 하기 위해 안대를 사용하며 먼지나 이물질이 들어가지 않도록 보호하는 역할도 합니다.
눈 <b>결막염 증상</b>,<b>결막염증상</b>있어서 안과갔다왔는디 플루톤점안액이랑 토비스타 처방받았는데 몇번씩 넣으면 되죠?  안녕하세요 안경사 서슨생입니다:_ 하나 점안 후 5~10분정도 이후에 다른 점안액을 점안하는게 좋으며 하루 점안 횟수는 증상에 따라... 
눈 <b>결막염 증상</b> 요즘 제 눈이 좀 이,눈 <b>결막염 증상</b> 요즘 제 눈이 좀 이상한것 같은데요 막 눈에 눈꼽은 아닌데 콧물같은 액체가 자꾸 조금씩 묻어나요 계속 닦아내도 한시간에 한번씩은 그러는데 결막염인가요?  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 박우경... 
<b>결막염 증상</b> 중에 피부 두드러기도 있나요??,... 만졌을 때 딴딴하고 좀 아파요 ㅠ 두드러기도 <b>결막염 증상</b> 중에 하나인가요  <b>결막염 증상</b>에는 두드러기가 포함되지 않습니다. 두드러기는 과학적으로 이미 증명된 항체불균형에 의해서 생겨나는 피부질환입니다. (출처 - Nature... 
이거 <b>결막염</b>인가요?,... 하이닥-네이버 지식iN 상담의 류익희 입니다. <b>결막염 증상</b>처럼 보여집니다. 가렵다고 해서 눈을 비비는 것은 오히려 증상이 악화 될 수 있으니 되도록이면 안과를 방문하여 진료를 받아보시길 바래요.
