Question,Answer
<b>감기 초기증상</b>,어제 저녁부터 갑자기 열이 펄펄나고 기침도 많이 하고 머리도 뭔가가 찌르는 듯이 아픈데 <b>감기 초기증상</b>인가여  감기가 아니라 독감같습니다. 근데 감기 걸렸는데 지식in에 어떻게 올리셨어여?? 수많은 사람들이 약하면 감기! 지독하면... 
이거 <b>감기초기증상</b>인가요?,... 그런지모르겠는데 목이 침 삼킬때마다 좀 아포요 이거 <b>감기 초기증상</b>인가요?? 밤에는 기온이 떨어져서 창문 열고 이불 덮지않고 그냥 주무시면 기온차로 인해 감기 걸리기 쉽습니다. 창문열고 주무셨다고 하니 <b>감기초기증상</b> 같은데요. 
<b>감기 초기증상</b>,<b>감기 초기증상</b>이 뭔가요?  미열 두통 기침 콧물 목통증 코막힘등 입니다
임신<b>초기증상</b> <b>감기</b>/분비물,... 정말 걱정이 되는데 임신<b>초기증상</b>에 <b>감기</b><b>증상</b>도 있는건가요 ? 분비물도 많아지고 여러가지 다 얘기가 들어맞는거 같은데... 임신<b>초기증상</b>에 <b>감기</b><b>증상</b>...분비물.... 이외에 더 자세히 부탁합니다...  고민이시군요. 제 블러그에 올린 것... 
에이즈 <b>초기증상</b>,"... 저 병변만으로는 에이즈 <b>초기증상</b>인지 알기 힘들며 질문자님의 히스토리를 전혀 모르는 상태로 확답을 드리기... 에이즈는 보통 성관계 이후 3~6주 기간에 무<b>증상</b> 잠복기를 거치게 됩니다. 이 기간 중 발열, 기침, 통증 등 <b>감기</b>와... "
폐렴 <b>초기증상</b> 지난번에도 있었는데 재발할 수 있나요?... ,"... 폐렴 <b>초기증상</b>은 <b>감기</b>와 비슷하여 구분하기 어려운데요. 일반적으로 발열, 기침, 가래, 피로감, 근육통, 두통, 오한, 식욕부진, 숨 가쁨 등이 폐렴 <b>초기증상</b>에 해당하니 참고하시기 바랍니다. 현재 질문자님께선 지난번에도 폐렴을... "
<b>감기초기증상</b>인것같은데,<b>감기초기증상</b>인것같은데 혀로 목천장 뒤쪽을 만져보면 원가 오돌토돌한 돌기 같은게 있어요.. 감기 맞나요? 글세요 그게 감기증세일까요? 전 지금 이주일이 다 되었는데도 감기가 안낫습니다 
관계후 3일뒤에 <b>감기 초기증상</b>이나 심,관계후 3일뒤에 <b>감기 초기증상</b>이나 심한 두통이 올수있나요?  안녕하세요. 하이닥-네이버 지식iN 상담의 박수경 입니다. 임신은 관계후 2~3일 후에 수정이 되고 착상까지 약 10일정도 소요 됩니다. 아주 초기에는 자각 증상은 없는 경우가... 
<b>감기 초기증상</b>인가요?,... 코로나는 아니겠죠? 내공 80이요 코로나는 모든 증상이 나타나기 전 열부터 납니다. 무증상은 기침같은것도 없는데 일교차로 인한 <b>감기 초기증상</b>으로 보입니다 도움되셨다면 채택 부탁드립니다 
"이거 비염인가요, 아님 <b>감기초기증상</b>인가요???",... 답변좀 해주세요ㅠㅠ  가래및 피곤은 <b>감기 초기증상</b>입니다. 이불따뜻하게덥고 땀 쫙빼시면 낳아요. 저도 어제 걸려서 뒤질뻔했어요..하하하.. 신종일수도 있으니깐 열도 한번 재보세요.
편도 위쪽이 좀 아픈데 <b>감기 초기증상</b>일까요?,코에서 목으로 넘어가는 부분이 좀 아픈데 <b>감기</b> 일까요? 지난달에 <b>감기</b> 심하게 걸렸었는데 또 <b>감기</b>는 아니겠죠? <b>감기 초기</b>일 가능성이높다고 봅니다 
임신 <b>초기</b> <b>감기</b><b>증상</b>,... 저도 임신 <b>초기</b> <b>감기</b> <b>증상</b>이 있었어요. 왠지 힘이 없고 춥고 열이나고 콧물도 살짝나서 <b>감기</b>약을 먹을 까?생각했지만 불안한 마음에 참고 3주후에 임테기로 검사를 해보니 두줄이 나왔어요. ★★★★★ 임신 <b>초기 증상</b> 제대로... 
제가 <b>감기 초기 증상</b>이 목이 붓는건데,제가 <b>감기 초기 증상</b>이 목이 붓는건데 이번엔 심하게 걸린건지 자다가 목이 너무 아파서 일어나요 침삼킬때마다 너무 아프고 지금 한여름이라 너무 더운데 감기걸린게 에어컨 바람 때문인거같은데 찬바람이 안좋을까봐 선풍기도 못틀고... 
<b>감기초기증상</b>으로 판콜 판피린 둘중 뭐가 좋을까요,"판콜 판피린 <b>감기 초기증상</b>으로 종합감기약으로 알고 있는데요 그중 좀더 효과 먼저인거 대표로 하나씩만 알려주세요 판콜A... 판콜S... 판피린Q... 판피린T... 네,보통은 판콜 에이를 복용합니다. "
임신 <b>초기증상</b> 궁금해요 몸살 <b>감기</b><b>증상</b> ...맞아요?,... 임신 <b>초기증상</b>으로 몸살 <b>감기</b><b>증상</b>도 있는것 같고 약은 먹으면 안된다고해서 그냥 이대로있는데 마음이 영불안해서요 저 임신<b>초기증상</b> 맞는거겟죠 ?몸살 <b>감기</b><b>증상</b>이 단순히 이대로 끝나버리는건 아닌건지 어떤분은 선명한... 
아직 <b>초기</b>라서 잘 모르겠다고 목<b>감기</b>쪽으로 약을,"... <b>증상</b> <b>초기</b>에는 음식을 삼킬 때 이물감이 느껴지고, 목마름과 기침 <b>증상</b>이 나타나면서 고열, 두통, 가래, 식욕부진처럼 <b>감기</b> <b>증상</b>과 비슷한 상태를 보이며, 기침이 심해지면 목소리가 쉬고 심한 염증으로 기관지 점막이 부어오르면... "
임신<b>초기증상</b> 몸살<b>감기</b>,주마다 1번씩관계를갖는데 일요일부터 몸이뻐근하고 <b>감기</b>기운있네요 임신테스트기해봤는데 임신은아니라고 뜨는데 임신<b>초기증상</b>인건가요???  관계를 주 1회 한다고해서 무조건 임신이되는 것은 아니구요. 몸이 뻐근하고 <b>감기</b>기운이... 
만약 수막구균 감염증 <b>초기</b> <b>감기</b><b>증상</b>도 땀흘리면... ,... 수막구균은 우리나라에서 아주 드문 질환입니다 그리고 이 질환에 걸리는 경우 후유증이 남게 됩니다 <b>초기 증상</b>으로는 발열 근육통 피부의 출혈 소견이 보입니다 그리고 뇌막염 <b>증상</b>이 나옵니다 외래 치료는 불가능 하고 꼭 입원을... 
임신 <b>초기증상</b> 목<b>감기</b>?,임신 <b>초기증상</b> 목<b>감기</b>? 임신 <b>초기 증상</b> 중에 몸살<b>감기</b> 같이 느껴지기도 한다던데 목<b>감기</b>처럼 느껴지기도 하나요?? 목이 따갑거나 가레가 생기는 것도 임신 <b>증상</b> 중 하나일 수 있나요?  안녕하세요. 하이닥-네이버 지식iN 상담의 이형근... 
"<b>감기</b>/독감 차이점, 독감<b>초기 증상</b>","... 독감<b>초기증상</b>과 <b>감기</b>/독감 차이점 알려주세요. 안녕하세요 독감의 주<b>증상</b>은 38도 이상의 고열과 온몸이 쑤시는 듯한 근육통이 동반됩니다 일반적으로 고열을 동반하지 않는 콧물, 가래, 코막힘등이 <b>감기</b> <b>증상</b>으로 나타납니다 "
맹장염 <b>초기증상</b>,"... 맹장엄 <b>초기증상</b>인가요?  안녕하세요 인터엠디(InterMD) x 네이버 지식in 건강상담 의사 김무웅입니다 맹장염... <b>감기</b> 조심하시고, 따뜻한 봄 바람과 향기로운 꽃향기 및 휘날리는 벚꽃에 기분 좋은 하루 되셨길 바랍니다."
<b>감기 초기증상</b>으로 목젖이 붓고 입안도,<b>감기 초기증상</b>으로 목젖이 붓고 입안도 마르고 불편한 느낌이 드는데 어떤 약을 먹으면 좋을까요?  그정도 증세면 소금물 진하게 풀어서 목깊숙히 가글을 자주 해주면 감기가 몸안으로 못들어올것 같습니다. 만약 좀 더 진행되어 목도... 
<b>초기</b><b>감기</b><b>증상</b>.,... 목이 아프면서 열이 나는 등 <b>초기</b> <b>감기</b> 증세가 보일 때 은행을 7~8알 정도 기름에 살짝 볶아 먹으면 <b>증상</b>을 완화시킬 수 있다. 아이들의 경우 목이 아프다고 할 때에 <b>초기 증상</b>을 의심할 수 있으므로 이때 껍질을 벗긴 은행을 구워 꿀에... 
이거 말라리아 <b>초기증상</b>인가요?,"... 말라리아 <b>초기증상</b> 일어난것 같습니다(근육통, 두통, 무기력감 등) 최근에 말라리아 옮기는 모기가 한국에도... <b>증상</b>이 있으면 병원가서 진료를 보면 좋겠지만 적어주신 <b>증상</b>은 꼭 말라리아 감염 <b>증상</b>이라고 보다는 전반적인 <b>감기</b>... "
임신<b>초기증상</b> 목<b>감기</b>,관계를 한지 딱 2주 됐는데 목이 조금 아프고 코맹맹이 소리가 나는데 임신 <b>초기 증상</b>인가요..? 관계할 때 콘돔끼고 질외사정 했습니다 <b>감기</b><b>증상</b>입니다 임신이아니고 
에이즈 <b>초기 증상</b> 질문이요...,"... 2주일 전에 관계를 했는데 5일 전부터 <b>감기</b> 비슷하게 기침도 하고, 열은 나는지 안나는지 모르겠지만 두통도 좀... 물론 제가 약을 안먹어서 그런거일 수도 있는데 혹시 에이즈 <b>초기 증상</b>일까요??  안녕하세요. 에이즈는 보통 성관계... "
임신<b>초기증상</b>에 목<b>감기</b>도 있나요??,"임신<b>초기증상</b>에 목<b>감기</b>도 있나요??  안녕하세요 보통 임신<b>초기 증상</b>으로는 가슴 통증, 두통, 몸살 <b>증상</b>, <b>초기</b> 배 아픔, 갈색 혈 등의 <b>증상</b>을 보입니다. 허나 사람마다 <b>증상</b>이 다를 수 있는부분이고 몸살 <b>증상</b>에 목<b>감기</b>도 있을 수 있기... "
폐렴 <b>초기 증상</b>,지금 기침을 거의 한달간 하는데요 노란 가래도 나오고요 <b>감기</b>인줄 알고 병원에서 <b>감기</b>약을 처방받아서 먹으면 먹는동안은 기침ㅇ랑 가래가 안 나오는데 약을 다먹고 하루 이틀 뒤면 <b>증상</b>이 다시 시작되네요 1.폐렴 <b>초기 증상</b>인가요? 2.... 
<b>감기 초기증상</b>인가요?,"... 이거 <b>감기초기증상</b>인가요? 내공 겁니다 기침감기 빨리 낫는법 ▷ 손을 자주 깨끗이 씻기: 평소에 화장실을 다녀온 후, 그리고 수시로 손을 깨끗이 씻어내는 것이 중요한데요. 우리의 몸이 면역력이 약해진 틈을 타고 손을 통해 다른... "
hiv <b>초기증상</b>,"hiv<b>초기증상</b>이 발열 근육통 구토 인후통증 두통 근육통 피부발진 등등으로 알고있는데 <b>증상</b>이 전부다 나타나나요... 에이즈는 보통 성관계 이후 3~6주 기간에 무<b>증상</b> 잠복기를 거치게 됩니다. 이 기간 중 발열, 기침, 통증 등 <b>감기</b>와... "
목이 간질거리고 콧물나는데 <b>감기 초기증상</b>인가요?,... 열은 없는데 심장이 빠르게 뛰고 손이 좀 떨려요 <b>감기초기증상</b>일까요?  목이 간질거려서 여러번 기침했는데도 계속 간지럽네요 콧물도 좀 나고.. 열은 없는데 심장이 빠르게 뛰고 손이 좀 떨려요 <b>감기초기증상</b>일까요? 감기 몸살... 
<b>감기초기</b>잡는법,"... <b>감기 초기 증상</b>을 잡는 방법은 아래와 같습니다. 수분 섭취: <b>감기 초기 증상</b>이 나타나면 수분 섭취가 매우 중요합니다. 물, 차, 스포츠 음료 등을 마시며 체내 수분을 보충해주는 것이 좋습니다. 적당한 휴식: 적당한 휴식을 취해주는... "
<b>감기초기</b>같은데 병원가는게 나을까요?,... <b>감기초기증상</b>같은데 병원가서 주사맞고 약먹는게 좋을까요? 생강차모과차이런게 감기초기에 잡을때 좋은건 아는데 해줄만한 사람도 없고 스스로 해먹을줄도 모르거든요 흡연이나 음주는 안하는데 피시방알바중이라... 
임신<b>초기 증상</b> 중에 목<b>감기</b> <b>증상</b>도 있,"임신<b>초기 증상</b> 중에 목<b>감기</b> <b>증상</b>도 있나요?? 그리고 무기력도요  안녕하세요. 하이닥-네이버 지식iN 상담의 이형근 입니다. 임신<b>초기증상</b>으로는 냉의 증가, 두통, 어지러움, 소화불량, 울렁거림, 가슴, 허리의 통증, 아랫배 통증, 소량의... "
임신<b>초기</b> <b>감기</b><b>증상</b>,임신<b>초기</b>에 <b>감기</b><b>증상</b>이 나타난다고 하는데 몇주정도의 시간이 지난후 나타나는지요 그리고 임신에 의한 <b>감기</b>증산은 몸이 오슬오슬떨리고 미열이 나는정도인가요? 콧물이 나고 기침을 하는 <b>증상</b>은 없는가요? 임신<b>초기</b>라고 해서 다 <b>감기</b>가... 
<b>감기</b><b>증상</b>인가요,"... <b>증상</b> <b>초기</b>에는 음식을 삼킬 때 이물감이 느껴지고, 목마름과 기침 <b>증상</b>이 나타나면서 고열, 두통, 가래, 식욕부진처럼 <b>감기</b> <b>증상</b>과 비슷한 상태를 보이며, 기침이 심해지면 목소리가 쉬고 심한 염증으로 기관지 점막이 부어오르면... "
<b>감기 초기증상</b>인가용???,<b>감기 초기증상</b>인가용??? 낮에 찬바람을 많이 쎄고 온 후 들어오고 나서 그후부터 계속 기침만 하고 있고용 그러다가 목이 숸증상도 있었엉농  감기인거 같은데요.. 요즘 폐렴도 유행이니 심해기지 전에 병원가세요
독감?<b>감기</b>? <b>초기증상</b>,... 병원갓는데 독감이라는거에여 근데 저도 그뒤로 머리가아푸고 몸이막쑤시고 열은37도? .. <b>감기초기증상</b>인가여?  물어볼것도 없이 인근 이비인후과 가셔서 진찰받고 약을 드십시요 그게 최선의 방법입니다 요즘 감기독감 무섭습니다
<b>감기 초기증상</b>,... 최근 독감이 대유행을 하면서 고열 <b>증상</b>이 동반되면 독감으로 나오는 경우가 많기 때문입니다. 체온상 38도까지는 아니라도 근처의 체온이 확인된다면 독감도 배제 할순 없습니다. 우선 내과로 가셔서 진료 보시는게 좋습니다. 
코로나<b>초기증상</b>이랑 <b>감기</b>비교,"... 만약 맞다면 저 강아지 키우는데 강아지한테도 옮길수 잇나요?ㅠㅠ 코로나<b>초기증상</b>이랑 <b>감기</b>비교 코로나 감염 의심으로 걱정되시겠어요. 코로나 <b>증상</b>으로는 대표적으로 발열, 권태감, 기침, 호흡곤란 및 폐렴 등 경증에서 중증까지... "
몸살<b>감기</b> 기운 임신 <b>초기증상</b> 인가요?,"... 오늘 <b>감기</b>몸살 기운이 나타나기 시작해요 ㅠㅠ 알아보니까 임신<b>초기증상</b>이라서 겁나는데, 시험준비 때문에 밤새고 추운날씨로 면역력 떨어져서 그럴수도 있는데 혹시나해서 지식인에 질문해봐요 •• 생리 예정일은... "
임신<b>초기</b><b>감기</b><b>증상</b>인가요?,... 벚꽃축제 가려고 준비중인데 너무 추워서 혹시 임신<b>초기</b>때 <b>감기</b><b>증상</b>이 아닌지 확인해주세요 ㅠㅠ 25주차 예비맘입니다. 임신 <b>초기 증상</b>은 사람마다 다르지만 저 역시 임신 <b>초기</b>에 <b>감기</b> <b>증상</b>을 겪었습니다. 갑자기 한기가 들고 으슬... 
제가 목<b>감기</b> <b>증상</b>,"... <b>증상</b> <b>초기</b>에는 음식을 삼킬 때 이물감이 느껴지고, 목마름과 기침 <b>증상</b>이 나타나면서 고열, 두통, 가래, 식욕부진처럼 <b>감기</b> <b>증상</b>과 비슷한 상태를 보이며, 기침이 심해지면 목소리가 쉬고 심한 염증으로 기관지 점막이 부어오르면... "
<b>감기초기증상</b>,... 7~8도정도 되더라구요 가래도 살짝있고 콧물도 나오고 코도막히는데 <b>감기</b><b>증상</b>인가요?? 맞습니다.!! <b>감기</b>는 <b>증상</b>만 치료하는데 도움을 줄수있지 특효약은 없습니다. 내과 병원에 가셔서 진료 받고 약 타다 드세요 
2주째 목<b>감기</b><b>증상</b>?.,제가 2주가 넘게 기침을 하고 있는데요 <b>감기</b>같아서 처음 1주정도 동안은 계속 목<b>감기</b>약을 먹었는데도 나아지지 않았고... 역류성 식도염은 <b>초기</b> 대처가 매우 중요합니다. <b>증상</b>이 조금 호전되었다고 임의로 약을 중단하거나 밑빠진 독에... 
목<b>감기</b>도 <b>초기</b>에 못 잡으면 폐렴으로,"... 따라서 목<b>감기 초기</b>에는 <b>증상</b>이 나타나면 즉시 적절한 치료를 받고, 휴식을 취하고 수분을 충분히 섭취하여 몸의 면역력을 강화해야 합니다. 또한 귀하의 건강 상태에 따라 의사에게 상담하는 것이 좋습니다. 정기적인 손씻기와 사회적... "
<b>감기</b> <b>증상</b>,"... <b>증상</b> <b>초기</b>에는 음식을 삼킬 때 이물감이 느껴지고, 목마름과 기침 <b>증상</b>이 나타나면서 고열, 두통, 가래, 식욕부진처럼 <b>감기</b> <b>증상</b>과 비슷한 상태를 보이며, 기침이 심해지면 목소리가 쉬고 심한 염증으로 기관지 점막이 부어오르면... "
생식먹고 목이 따끔거려요 목<b>감기 초기증상</b>처럼요... ,생식먹고 목이 따끔거려요 목<b>감기 초기증상</b>처럼요 알레르기 반응인가요 안녕하세요 질문자님 말씀대로 생식이 질문자님의 몸에 맞지 않아 알레르기반응이 올 수도 있고 생식이 무척 차가운 성질의 음식이기 때문에 몸안에 냉기와 수분이... 
그냥 <b>감기</b>기운인지 임신 <b>초기증상</b>인지..,... 임신<b>초기증상</b>으로 <b>감기</b>기운이 있을수도 있다길래 혹시나해서 여쭙니다. 16일 맺은 관계로 30일 테스트했을때 임신 아님으로 나왔구요.. 중간에 음주한 날이 몇일 끼어있어 호르몬 분비가 제대로 안됐을까봐요 ㅠㅠ 6일 관계로... 
